Time,[A],[B]
0,1,100
1,89.1135,-6.21889e-16
2,81.4485,-1.31603e-17
3,74.4428,-2.71786e-18
4,68.0396,-2.15858e-17
5,62.1871,3.1821e-18
6,56.8381,2.09526e-17
7,51.9492,-2.81614e-17
8,47.4808,-4.88315e-18
9,43.3967,1.58934e-16
10,39.6639,-1.17813e-16
11,36.2522,-5.80336e-16
12,33.134,3.97203e-16
13,30.2839,2.42119e-15
14,27.6791,3.30724e-16
15,25.2983,-1.11399e-14
16,23.1223,-2.02324e-14
17,21.1334,1.23364e-14
18,19.3156,1.08418e-13
19,17.6542,1.24939e-13
20,16.1357,-7.44264e-14
21,14.7478,-8.29551e-15
22,13.4793,7.72223e-14
23,12.3198,-8.98975e-14
24,11.2602,-5.42642e-13
25,10.2916,-7.30902e-13
26,9.40639,4.59915e-13
27,8.59731,2.96163e-12
28,7.85781,3.65683e-12
29,7.18193,-2.4676e-12
30,6.56417,-4.98267e-13
31,5.99956,-2.56086e-13
32,5.48351,1.78094e-14
33,5.01184,7.5225e-14
34,4.58075,2.00622e-13
35,4.18674,-4.90917e-14
36,3.82662,4.31302e-14
37,3.49747,7.17347e-14
38,3.19664,-4.21558e-14
39,2.92168,-3.53394e-17
40,2.67037,-1.29534e-14
41,2.44068,-2.27751e-13
42,2.23075,-2.43958e-13
43,2.03887,-8.24216e-14
44,1.8635,-8.72638e-15
45,1.70321,-1.86958e-13
46,1.55671,-3.19321e-13
47,1.42281,-1.20742e-14
48,1.30043,5.79522e-13
49,1.18857,9.99074e-13
50,1.08634,6.62939e-13
51,0.992895,-4.23559e-13
52,0.907492,-1.37341e-12
53,0.829434,-1.0176e-12
54,0.758091,1.12633e-12
55,0.692884,4.27202e-12
56,0.633286,6.76263e-12
57,0.578814,9.8217e-12
58,0.529028,1.52404e-11
59,0.483523,2.54791e-11
60,0.441933,4.44715e-11
61,0.403921,8.02203e-11
62,0.369177,1.49626e-10
63,0.337423,2.87717e-10
64,0.308399,5.69494e-10
65,0.281873,1.15627e-09
66,0.257627,2.40157e-09
67,0.235468,5.0933e-09
68,0.215214,1.10186e-08
69,0.196702,2.42724e-08
70,0.179783,5.43605e-08
71,0.164319,1.236e-07
72,0.150185,2.84942e-07
73,0.137267,6.65249e-07
74,0.12546,1.57118e-06
75,0.114669,3.7502e-06
76,0.104806,9.038e-06
77,0.0957926,2.19745e-05
78,0.0875557,5.38601e-05
79,0.0800306,0.000132988
80,0.0731603,0.000330582
81,0.0668983,0.000826818
82,0.0612149,0.00207953
83,0.0561132,0.0052567
84,0.0516678,0.0133476
85,0.0481218,0.0340195
86,0.0461501,0.0869377
87,0.0477011,0.222271
88,0.0596656,0.565245
89,0.119945,1.39868
90,0.669507,2.85122
91,4.30522,0.885705
92,4.88113,0.0256741
93,4.48841,0.000855177
94,4.10326,4.12409e-05
95,3.75036,2.80824e-06
96,3.42778,2.62177e-07
97,3.13294,3.26605e-08
98,2.86346,5.29606e-09
99,2.61716,1.09286e-09
100,2.39204,2.80966e-10
101,2.18629,8.82959e-11
102,1.99824,3.33989e-11
103,1.82636,1.50089e-11
104,1.66927,7.82754e-12
105,1.52569,4.71062e-12
106,1.39446,3.21817e-12
107,1.27451,2.47001e-12
108,1.16489,2.09922e-12
109,1.06469,1.97121e-12
110,0.973109,2.03059e-12
111,0.889407,2.27115e-12
112,0.812904,2.73838e-12
113,0.742982,3.54137e-12
114,0.679075,4.87037e-12
115,0.620665,7.1e-12
116,0.567279,1.08617e-11
117,0.518484,1.74615e-11
118,0.473887,2.93444e-11
119,0.433126,5.12971e-11
120,0.395871,9.3009e-11
121,0.36182,1.74355e-10
122,0.330698,3.36833e-10
123,0.302253,6.69566e-10
124,0.276255,1.36508e-09
125,0.252493,2.84788e-09
126,0.230775,6.0684e-09
127,0.210925,1.31845e-08
128,0.192782,2.91561e-08
129,0.1762,6.55282e-08
130,0.161044,1.49473e-07
131,0.147192,3.45602e-07
132,0.134531,8.09035e-07
133,0.12296,1.91546e-06
134,0.112384,4.58215e-06
135,0.102718,1.10656e-05
136,0.0938839,2.69545e-05
137,0.0858117,6.61789e-05
138,0.0784378,0.00016366
139,0.0717073,0.000407404
140,0.0655768,0.00102028
141,0.060022,0.00256912
142,0.0550577,0.00650111
143,0.050785,0.0165224
144,0.0475126,0.042141
145,0.0460928,0.10773
146,0.0490628,0.275292
147,0.066102,0.697923
148,0.158831,1.69947
149,1.15978,2.9496
150,4.76601,0.418133
151,4.79784,0.0114365
152,4.39727,0.00041487
153,4.01949,2.17131e-05
154,3.67378,1.59354e-06
155,3.35778,1.59318e-07
156,3.06896,2.11288e-08
157,2.80499,3.62783e-09
158,2.56372,7.88803e-10
159,2.3432,2.12828e-10
160,2.14165,6.98695e-11
161,1.95743,2.75932e-11
162,1.78907,1.28009e-11
163,1.63518,6.92154e-12
164,1.49453,4.28076e-12
165,1.36598,2.97646e-12
166,1.24849,2.31425e-12
167,1.1411,2.0205e-12
168,1.04295,1.94263e-12
169,0.953236,2.04038e-12
170,0.871244,2.32543e-12
171,0.796303,2.86214e-12
172,0.72781,3.75916e-12
173,0.665209,5.25784e-12
174,0.607991,7.7318e-12
175,0.555695,1.19872e-11
176,0.507897,1.94758e-11
177,0.46421,3.30271e-11
178,0.424281,5.82754e-11
179,0.387787,1.06639e-10
180,0.354432,2.01404e-10
181,0.323945,3.91916e-10
182,0.296081,7.83469e-10
183,0.270614,1.60543e-09
184,0.247337,3.36586e-09
185,0.226062,7.20585e-09
186,0.206618,1.57217e-08
187,0.188845,3.49005e-08
188,0.172602,7.87159e-08
189,0.157756,1.80133e-07
190,0.144186,4.17719e-07
191,0.131784,9.80485e-07
192,0.120449,2.32708e-06
193,0.110089,5.57935e-06
194,0.10062,1.35014e-05
195,0.0919673,3.29497e-05
196,0.0840606,8.1037e-05
197,0.0768388,0.000200717
198,0.0702492,0.000500368
199,0.0642516,0.00125472
200,0.0588285,0.00316319
